-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.036,  0.148
-183.800, 80.197, 0.035,  0.181
-183.800, 80.196, 0.042,  0.214
-183.800, 80.192, 0.125,  0.247
-183.799, 80.184, 0.249,  0.280
-183.798, 80.173, 0.325,  0.313
-183.795, 80.159, 0.431,  0.346
-183.790, 80.140, 0.617,  0.379
-183.783, 80.115, 0.781,  0.412
-183.773, 80.082, 1.018,  0.445
-183.759, 80.042, 1.226,  0.478
-183.744, 79.996, 1.407,  0.511
-183.726, 79.945, 1.557,  0.544
-183.706, 79.891, 1.667,  0.577
-183.685, 79.835, 1.736,  0.610
-183.663, 79.778, 1.777,  0.643
-183.640, 79.721, 1.798,  0.676
-183.617, 79.664, 1.811,  0.709
-183.593, 79.607, 1.821,  0.742
-183.570, 79.550, 1.826,  0.775
-183.547, 79.493, 1.828,  0.808
-183.524, 79.436, 1.828,  0.841
-183.501, 79.379, 1.828,  0.874
-183.479, 79.321, 1.830,  0.907
-183.457, 79.264, 1.834,  0.940
-183.435, 79.207, 1.840,  0.973
-183.413, 79.149, 1.849,  1.006
-183.391, 79.091, 1.860,  1.039
-183.369, 79.032, 1.874,  1.072
-183.346, 78.973, 1.888,  1.105
-183.324, 78.913, 1.903,  1.138
-183.302, 78.853, 1.917,  1.171
-183.280, 78.793, 1.930,  1.204
-183.257, 78.732, 1.941,  1.237
-183.235, 78.670, 1.952,  1.270
-183.213, 78.609, 1.961,  1.303
-183.191, 78.547, 1.969,  1.336
-183.169, 78.485, 1.975,  1.369
-183.147, 78.423, 1.980,  1.402
-183.125, 78.360, 1.984,  1.435
-183.103, 78.298, 1.986,  1.468
-183.082, 78.235, 1.987,  1.501
-183.061, 78.172, 1.988,  1.534
-183.040, 78.109, 1.988,  1.567
-183.019, 78.047, 1.987,  1.600
-182.999, 77.984, 1.987,  1.633
-182.978, 77.921, 1.986,  1.666
-182.958, 77.858, 1.985,  1.699
-182.939, 77.795, 1.984,  1.732
