-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.026,  0.214
-183.799, 80.193, 0.121,  0.247
-183.796, 80.185, 0.266,  0.280
-183.793, 80.173, 0.368,  0.313
-183.789, 80.157, 0.492,  0.346
-183.783, 80.135, 0.699,  0.379
-183.775, 80.104, 0.944,  0.412
-183.767, 80.067, 1.133,  0.445
-183.757, 80.026, 1.230,  0.478
-183.749, 79.984, 1.259,  0.511
-183.741, 79.943, 1.279,  0.544
-183.732, 79.900, 1.301,  0.577
-183.724, 79.858, 1.326,  0.610
-183.716, 79.814, 1.351,  0.643
-183.708, 79.769, 1.371,  0.676
-183.700, 79.725, 1.377,  0.709
-183.693, 79.679, 1.385,  0.742
-183.685, 79.634, 1.396,  0.775
-183.677, 79.588, 1.407,  0.808
-183.670, 79.542, 1.417,  0.841
-183.663, 79.495, 1.427,  0.874
-183.656, 79.448, 1.436,  0.907
-183.649, 79.400, 1.444,  0.940
-183.642, 79.353, 1.451,  0.973
-183.635, 79.305, 1.457,  1.006
-183.628, 79.257, 1.463,  1.039
-183.621, 79.209, 1.467,  1.072
-183.615, 79.160, 1.472,  1.105
-183.608, 79.111, 1.475,  1.138
-183.602, 79.063, 1.479,  1.171
-183.595, 79.014, 1.482,  1.204
-183.590, 78.965, 1.485,  1.237
-183.584, 78.916, 1.487,  1.270
-183.578, 78.867, 1.489,  1.303
-183.573, 78.817, 1.492,  1.336
-183.567, 78.768, 1.494,  1.369
-183.562, 78.718, 1.497,  1.402
-183.556, 78.669, 1.500,  1.435
-183.551, 78.619, 1.503,  1.468
-183.545, 78.569, 1.506,  1.501
-183.540, 78.519, 1.510,  1.534
-183.534, 78.469, 1.514,  1.567
-183.529, 78.419, 1.518,  1.600
-183.524, 78.368, 1.523,  1.633
-183.518, 78.318, 1.527,  1.666
-183.513, 78.267, 1.532,  1.699
-183.507, 78.216, 1.537,  1.732
